"Primary_Key","School Number","School Year","School Name","Official School Name","LEA Number","LEA Name","Name Prefix Description","Principal First Name","Principal Middle Name","Principal Last Name","Principal Name Suffix","Principal Email","Address Line1","Address Line2","City","State","Zip Code 5","Zip Code 4","Phone Office Area","Phone Office Exch","Phone Office Line","Phone Fax Area","Phone Fax Exch","Phone Fax Line ","Mailing Address Line1","Mailing Address Line2","Mailing City","Mailing State","Mailing Zip Code 5","Mailing Zip Code 4","URL School Address","Sch Operational Status","Sch Operational Status Desc","Opening Effective Date","Closing Date","School Type","School Type Desc","School Program Type","School Program Type Desc","Grade Level Current","Grade Level Approved","Grade Level First Year","Title I","School Calendar Type","School Calendar Description","Extended Hours","School Schedule Type","School Schedule Type Desc","School Designation Type","School Designation Desc","Virtual Status","SBE Region","SBE Region Names","Accreditation Status","Accreditation Status Desc","Federal School Number","College Board Number","School Membership","School Year For Sch Membership","School Teacher Count","School Year For Teachers","Cooperative Innovative HS","Cooperative MMYYYY SBE Approve","First Yr Est ADM","First Yr Est Paid Teacher FTE","Newly Constructed Facility","Occupancy Date","What Facility Will Sch Occupy","Share Space","Share Space Describe","New Sch Population From","List Of Closing Schools","County Code","County Description","Opening In School Year","Locale Type","Locale Type Desc","School Closings?","School Systartstatus","Record Created Timestamp","Record Created By","Last Changed Timestamp","Last Changed By"
"00A0002024","00A000","2024","North Carolina Cyber Academy","North Carolina Cyber Academy","00A","North Carolina Cyber Academy","Mr","Martez","-","Hill","-","mhill@myncca.com","2800 Meridian Parkway","Suite 150","Durham","NC","27713","-","984","262","9237","919","406","0063","-","-","-","-","-","-","http://www.myncca.com","1","Open","01-JUL-15","-","R","Regular School","N","None","KG:01:02:03:04:05:06:07:08:09:10:11:12","KG:01:02:03:04:05:06:07:08:09:10:11:12","KG:01:02:03:04:05:06:07:08:09","-","T","Traditional","-","B","Block","C","Charter","FULLVIRTUAL","3","North Central","SA","SACS","370038603361","341070","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","032","Durham","2016","12","City, Midsize","-","-","03-11-2015 12:00AM","nicola_lefler","01-04-2021 10:05AM","kyerkie"
"00B0002024","00B000","2024","NC Virtual Academy","NC Virtual Academy","00B","NC Virtual Academy","-","Katie","-","Gomersall","-","kgomersall@k12.com","4220 NC Highway 55","Suite 130","Durham","NC","27713","-","919","346","0121","919","324","6597","-","-","-","-","-","-","http://ncva.k12.com/","1","Open","01-JUL-15","-","R","Regular School","N","None","KG:01:02:03:04:05:06:07:08:09:10:11:12","KG:01:02:03:04:05:06:07:08:09:10:11:12","KG:01:02:03:04:05:06:07:08:09:10","-","T","Traditional","-","S","Semester","C","Charter","FULLVIRTUAL","3","North Central","-","-","370039803362","341071","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","032","Durham","2016","41","Rural, Fringe","-","-","03-11-2015 12:00AM","nicola_lefler","04-02-2018 10:12AM","nicola_lefler"
"0103032024","010303","2024","ABSS Early College at ACC","ABSS Early College at ACC","010","Alamance-Burlington Schools","-","Whitney","-","Fliehman","-","whitney_fliehman@abss.k12.nc.us","1247 Jimmie Kerr Road","-","Graham","NC","27253","-","336","506","4001","336","506","4004","PO Box 8000","-","Graham","NC","27253","-","https://www.abss.k12.nc.us/o/abec","1","Open","02-JAN-06","-","R","Regular School","C","Cooperative Innovative High School","09:10:11:12:13:XG","09:10:11:12:13:XG","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003002972","341546","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:34PM","carla_bopp"
"0103042024","010304","2024","Alexander Wilson Elementary","Alexander Wilson Elementary","010","Alamance-Burlington Schools","Ms","Ashley","-","Westmoreland","-","ashley_westmoreland@abss.k12.nc.us","2518 NC 54","-","Graham","NC","27253","-","336","578","1366","336","578","8092","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/awes","1","Open","30-JUN-90","-","R","Regular School","N","None","PK:KG:01:02:03:04:05","PK:KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000001","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:23PM","carla_bopp"
"0103082024","010308","2024","Altamahaw-Ossipee Elementary","Altamahaw-Ossipee Elementary","010","Alamance-Burlington Schools","-","Erin","-","Millspaugh","-","erin_millspaugh@abss.k12.nc.us","2832 N NC 87","-","Elon","NC","27244","-","336","538","6030","336","538","6032","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/aoes","1","Open","30-JUN-90","-","R","Regular School","N","None","KG:01:02:03:04:05","KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000002","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:24PM","carla_bopp"
"0103102024","010310","2024","Broadview Middle","Broadview Middle","010","Alamance-Burlington Schools","-","Nicole","-","Lancaster","-","nicole_lancaster@abss.k12.nc.us","2229 Broadview Drive","-","Burlington","NC","27217","4303","336","570","6195","336","570","6202","-","-","-","-","-","-","http://brm.abss.k12.nc.us/","1","Open","30-JUN-96","-","R","Regular School","N","None","06:07:08","06:07:08","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000196","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:31PM","carla_bopp"
"0103112024","010311","2024","Career and Technical Education Center","Career and Technical Education Center","010","Alamance-Burlington Schools","-","Clifton","-","Davis","-","clifton_davis@abss.k12.nc.us","2550 Buckingham Road","-","Burlington","NC","27217","-","336","570","6092","336","570","6093","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/ctec","1","Open","24-JAN-12","-","V","Vocational Education","N","None","09:10:11:12","09:10:11:12","09:10:11:12","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003003171","991631","-","-","-","-","N","-","0","15","Y","15-AUG-11","-","N","-","All high schools","-","001","Alamance","2011","41","Rural, Fringe","N","-","04-28-2010 02:36PM","nicola_lefler","07-03-2023 03:35PM","carla_bopp"
"0103122024","010312","2024","Highland Elementary","Highland Elementary","010","Alamance-Burlington Schools","Ms","Mary Beth","-","Chandler","-","mary_chandler@abss.k12.nc.us","3720 Bonnar Bridge Parkway","-","Burlington","NC","27215","-","336","538","8700","336","538","8705","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/highlandes","1","Open","02-JUL-07","-","R","Regular School","N","None","KG:01:02:03:04:05","KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003002838","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:27PM","carla_bopp"
"0103202024","010320","2024","E M Yoder Elementary","E M Yoder Elementary","010","Alamance-Burlington Schools","Ms","Danielle","-","Gibbs","-","danielle_gibbs@abss.k12.nc.us","301 N Charles Street","-","Mebane","NC","27302","2328","919","563","3722","919","563","9079","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/emyes","1","Open","30-JUN-90","-","R","Regular School","N","None","PK:KG:01:02:03:04:05","PK:KG:01:02:03:04:05","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000005","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:26PM","carla_bopp"
"0103242024","010324","2024","Eastern Alamance High","Eastern Alamance High","010","Alamance-Burlington Schools","-","Suzanne","-","Simpson","-","catherine_simpson@abss.k12.nc.us","4040 Mebane Rogers","-","Mebane","NC","27302","9729","919","563","5991","919","563","6114","-","-","-","-","-","-","https://www.abss.k12.nc.us/o/eahs","1","Open","30-JUN-90","-","R","Regular School","N","None","09:10:11:12:XG","09:10:11:12:XG","-","-","T","Traditional","-","S","Semester","P","Public","NOTVIRTUAL","5","Piedmont Triad","ST","State","370003000006","342575","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","001","Alamance","-","41","Rural, Fringe","-","1","04-23-2010 02:49PM","EDDIE","07-03-2023 03:33PM","carla_bopp"
